"unconstrained","increasing"
47.9705692239839,47.9705541122499
24.4098479561555,24.4098478796804
10.0309369389255,10.0309369388908
7.95394329665424,7.95394329059935
6.68677262877384,6.68677262872988
6.50397326252829,6.50397326252764
6.38648217271685,6.38648217271683
42.4067248002038,42.4067478199202
24.8110029732221,24.811002267625
9.32623640813774,9.32623640847787
8.05114419840649,8.05114419744489
6.69938465707436,6.69938465705587
6.5082665241738,6.50826652414571
6.38095192138565,6.38095192138536
42.3260003055037,42.3260019758281
23.3470810897686,23.347081600175
10.5187320399496,10.5187320574125
8.04997579675213,8.04997579644151
6.70996011830987,6.70996011833151
6.53854924346588,6.53854924383405
6.38112383909688,6.38112383909759
50.4634429667263,50.4634427018306
22.6826701775067,22.6826700958625
9.74348210047246,9.74348208931096
8.05799089020241,8.05799089020252
6.69644574450668,6.69644574448793
6.51043679442048,6.51043679408104
6.38575598173412,6.38575598173334
46.5243527036112,46.5243529710161
24.1735899963334,24.1735909946249
9.96431256870441,9.96431256899253
8.05067974726723,8.05067974589603
6.69009428238016,6.69009428237283
6.520559017021,6.52055901681246
6.37837046131517,6.37837046131621
